call_id,caller,callee,start_time,end_time,duration_sec,call_type,country,plan_type,cost_usd,status,cell_tower_id,network_type,latitude,longitude
52613467-f66e-4eb0-bac8-42b8d1f77477,2190229303136,5047018797044,2026-03-12T04:23:48,2026-03-12T04:33:57,609,data,US,prepaid,0.716,completed,TOWER_3179,3G,29.385743,-71.239689
1ba85f64-ae08-43e4-a049-241a667f25cc,9871404461531,2689324622607,2026-03-12T07:19:43,2026-03-12T07:27:25,462,data,IN,postpaid,1.51,dropped,TOWER_8522,4G,32.487866,73.891297
cb0f03d3-ce47-4969-b959-fa4d63d887e6,7341026819003,6000962272343,2026-03-12T21:38:51,2026-03-12T21:43:52,301,data,IN,postpaid,0.872,failed,TOWER_1462,3G,15.912417,88.565415
c7443e88-524c-4cef-ba5b-2a802afae216,6041540603769,7732670314547,2026-03-12T13:07:21,2026-03-12T13:08:53,92,voice,NG,postpaid,0.264,completed,TOWER_9950,4G,7.162822,6.858792
d22c93d2-7f41-4fe8-b0ba-5914c623485e,7106410047660,2305350825146,2026-03-12T20:41:23,2026-03-12T21:07:48,1585,voice,DE,prepaid,4.203,dropped,TOWER_2680,3G,51.593517,13.334627
226de033-32b5-43a3-9c6b-2535daaa0d38,4997907553912,6701715937876,2026-03-11T19:45:12,2026-03-11T20:13:21,1689,sms,DE,postpaid,3.923,completed,TOWER_4983,4G,52.062455,10.28113
93fd8325-a8f6-4737-929d-628275614861,8146243667912,5130606594939,2026-03-13T11:12:36,2026-03-13T11:42:27,1791,voice,DE,postpaid,4.954,dropped,TOWER_5322,4G,52.306939,10.392472
e5d01881-c8d2-4e2d-8079-615c2e015359,3983242996779,0086865032095,2026-03-12T20:59:00,2026-03-12T21:03:55,295,voice,NG,postpaid,0.376,completed,TOWER_6318,5G,6.000486,8.656261
68956b9f-b443-404d-ba94-14ab71630c47,6175224894853,8607192802441,2026-03-13T10:43:42,2026-03-13T10:46:09,147,sms,BR,prepaid,0.401,failed,TOWER_8862,4G,-32.092999,-67.063102
d0a806dd-1578-44ed-9520-9ba2bb7c3359,1100459483062,3414938024432,2026-03-12T20:06:24,2026-03-12T20:23:40,1036,voice,BR,postpaid,1.718,failed,TOWER_2577,4G,-20.526469,-68.318098
0b8012c4-5057-4426-a159-5c053f86ad4a,7398924633029,8342518215542,2026-03-13T01:36:02,2026-03-13T01:36:10,8,sms,NG,prepaid,0.022,failed,TOWER_6542,3G,13.350847,4.177888
d2820bdf-7e3c-4ad4-bb26-a9a6722031cc,1941389884457,2520848289134,2026-03-13T01:18:17,2026-03-13T01:37:47,1170,data,NG,prepaid,1.299,dropped,TOWER_1759,4G,8.561161,6.988363
dc2de365-3a0c-494b-951f-ee7b24063eee,4777378738355,6507369464125,2026-03-11T23:13:24,2026-03-11T23:40:41,1637,voice,NG,prepaid,7.887,completed,TOWER_8954,4G,13.729652,8.146344
8770b0a7-3aed-4fbb-88be-86f46ad7dd31,9730986315947,0312772277851,2026-03-13T12:28:36,2026-03-13T12:55:56,1640,data,DE,postpaid,2.023,completed,TOWER_9576,3G,53.47897,14.189143
d00eb7d4-77d6-4070-a23a-0963001c52c3,4032010035942,2475142181146,2026-03-12T03:13:02,2026-03-12T03:15:41,159,sms,UK,prepaid,0.225,completed,TOWER_8446,4G,53.185043,-6.353117
09d3efce-2e21-4750-ac32-d3025094af03,2412531725877,8431364010629,2026-03-13T12:11:18,2026-03-13T12:37:04,1546,voice,BR,prepaid,2.506,completed,TOWER_2427,4G,-2.89191,-55.01063
eeb4b35f-b651-47b2-bfe9-ed2295289d93,4599422114718,1553032382949,2026-03-13T12:17:51,2026-03-13T12:24:01,370,data,NG,prepaid,1.808,completed,TOWER_6327,3G,4.522114,6.607761
1099e0d7-48d6-403f-88b5-d49a9830eca5,6737191589765,0673075794016,2026-03-12T17:27:54,2026-03-12T17:32:25,271,data,US,postpaid,0.461,completed,TOWER_4344,4G,37.816681,-90.33402
0612739d-e69b-4aac-bece-2aec80a238ca,7623686198170,9009401829772,2026-03-13T09:52:31,2026-03-13T10:01:25,534,voice,DE,prepaid,1.345,failed,TOWER_3683,3G,47.384357,13.437737
02734d36-f9af-4fc1-86c6-278afb83d523,0741916194801,8729306360616,2026-03-13T11:41:20,2026-03-13T12:01:59,1239,voice,BR,postpaid,4.542,completed,TOWER_2665,4G,-28.462414,-52.706134
bbfd88e6-ecfd-414d-ba46-bbe0d988650f,2252513960366,5356457254032,2026-03-12T06:56:26,2026-03-12T07:12:02,936,data,US,postpaid,2.261,failed,TOWER_1205,4G,29.653177,-71.604246
